Geographic Area,City,,poverty_rate,percent_completed_hs,Median Income,,,,,,,,
AL,Abanda CDP,Abanda CDPAL,78.8,21.2,11207,,,,,AL,Abanda CDP,Abanda CDPAL,11207
AL,Abbeville city,Abbeville cityAL,29.1,69.1,25615,,,,,AL,Abbeville city,Abbeville cityAL,25615
AL,Adamsville city,Adamsville cityAL,25.5,78.9,42575,,,,,AL,Adamsville city,Adamsville cityAL,42575
AL,Addison town,Addison townAL,30.7,81.4,37083,,,,,AL,Addison town,Addison townAL,37083
AL,Akron town,Akron townAL,42,68.6,21667,,,,,AL,Akron town,Akron townAL,21667
AL,Alabaster city,Alabaster cityAL,11.2,89.3,71816,,,,,AL,Alabaster city,Alabaster cityAL,71816
AL,Albertville city,Albertville cityAL,26.7,72.7,32911,,,,,AL,Albertville city,Albertville cityAL,32911
AL,Alexander City city,Alexander City cityAL,30.4,78.1,29874,,,,,AL,Alexander City city,Alexander City cityAL,29874
AL,Alexandria CDP,Alexandria CDPAL,9.7,88.8,56058,,,,,AL,Alexandria CDP,Alexandria CDPAL,56058
AL,Aliceville city,Aliceville cityAL,41.3,74.3,21131,,,,,AL,Aliceville city,Aliceville cityAL,21131
AL,Allgood town,Allgood townAL,27.7,48.1,42009,,,,,AL,Allgood town,Allgood townAL,42009
AL,Altoona town,Altoona townAL,27.5,66.9,27566,,,,,AL,Altoona town,Altoona townAL,27566
AL,Andalusia city,Andalusia cityAL,24.5,81.1,31968,,,,,AL,Andalusia city,Andalusia cityAL,31968
AL,Anderson town,Anderson townAL,13.8,85.7,34792,,,,,AL,Anderson town,Anderson townAL,34792
AL,Anniston city,Anniston cityAL,31.7,79.8,29681,,,,,AL,Anniston city,Anniston cityAL,29681
AL,Arab city,Arab cityAL,16.7,87.6,40292,,,,,AL,Arab city,Arab cityAL,40292
AL,Ardmore town,Ardmore townAL,19.1,77.7,35670,,,,,AL,Ardmore town,Ardmore townAL,35670
AL,Argo town,Argo townAL,8.6,87.5,57212,,,,,AL,Argo town,Argo townAL,57212
AL,Ariton town,Ariton townAL,37.6,71.3,24286,,,,,AL,Ariton town,Ariton townAL,24286
AL,Arley town,Arley townAL,31.6,80.6,28750,,,,,AL,Arley town,Arley townAL,28750
AL,Ashford town,Ashford townAL,18.8,83.5,42704,,,,,AL,Ashford town,Ashford townAL,42704
AL,Ashland town,Ashland townAL,22.4,77.9,31438,,,,,AL,Ashland town,Ashland townAL,31438
AL,Ashville city,Ashville cityAL,28.3,77.6,40547,,,,,AL,Ashville city,Ashville cityAL,40547
AL,Athens city,Athens cityAL,13,83.4,47542,,,,,AL,Athens city,Athens cityAL,47542
AL,Atmore city,Atmore cityAL,24.7,73.7,26775,,,,,AL,Atmore city,Atmore cityAL,26775
AL,Attalla city,Attalla cityAL,20.3,76,37191,,,,,AL,Attalla city,Attalla cityAL,37191
AL,Auburn city,Auburn cityAL,31.8,94.3,38342,,,,,AL,Auburn city,Auburn cityAL,38342
AL,Autaugaville town,Autaugaville townAL,24.1,71.2,24833,,,,,AL,Autaugaville town,Autaugaville townAL,24833
AL,Avon town,Avon townAL,22.2,82.8,40417,,,,,AL,Avon town,Avon townAL,40417
AL,Axis CDP,Axis CDPAL,6.8,79.9,55750,,,,,AL,Axis CDP,Axis CDPAL,55750
AL,Babbie town,Babbie townAL,15.7,81.2,41912,,,,,AL,Babbie town,Babbie townAL,41912
AL,Baileyton town,Baileyton townAL,28.6,74.7,31875,,,,,AL,Baileyton town,Baileyton townAL,31875
AL,Bakerhill town,Bakerhill townAL,19.1,72.4,31875,,,,,AL,Bakerhill town,Bakerhill townAL,31875
