2015,2016,2017,Town Name,State,Abbr,Identifier
"2,600","2,584","2,575",Abbeville,Alabama,AL,AbbevilleAL
"4,390","4,356","4,327",Adamsville,Alabama,AL,AdamsvilleAL
734,731,726,Addison,Alabama,AL,AddisonAL
339,333,332,Akron,Alabama,AL,AkronAL
"32,772","33,017","33,275",Alabaster,Alabama,AL,AlabasterAL
"21,395","21,454","21,485",Albertville,Alabama,AL,AlbertvilleAL
"14,647","14,611","14,550",Alexander City,Alabama,AL,Alexander CityAL
"2,345","2,328","2,317",Aliceville,Alabama,AL,AlicevilleAL
633,635,641,Allgood,Alabama,AL,AllgoodAL
922,920,921,Altoona,Alabama,AL,AltoonaAL
"8,918","8,854","8,746",Andalusia,Alabama,AL,AndalusiaAL
274,272,272,Anderson,Alabama,AL,AndersonAL
"22,039","21,865","21,708",Anniston,Alabama,AL,AnnistonAL
"8,232","8,269","8,298",Arab,Alabama,AL,ArabAL
"1,353","1,375","1,400",Ardmore,Alabama,AL,ArdmoreAL
"4,219","4,263","4,289",Argo,Alabama,AL,ArgoAL
742,741,741,Ariton,Alabama,AL,AritonAL
348,349,348,Arley,Alabama,AL,ArleyAL
"2,163","2,157","2,156",Ashford,Alabama,AL,AshfordAL
"1,948","1,940","1,925",Ashland,Alabama,AL,AshlandAL
"2,275","2,300","2,321",Ashville,Alabama,AL,AshvilleAL
"24,870","25,263","25,719",Athens,Alabama,AL,AthensAL
"9,956","9,886","9,380",Atmore,Alabama,AL,AtmoreAL
"5,867","5,847","5,841",Attalla,Alabama,AL,AttallaAL
"61,754","62,773","63,927",Auburn,Alabama,AL,AuburnAL
866,869,870,Autaugaville,Alabama,AL,AutaugavilleAL
493,492,491,Avon,Alabama,AL,AvonAL
601,600,595,Babbie,Alabama,AL,BabbieAL
613,615,617,Baileyton,Alabama,AL,BaileytonAL
265,261,257,Bakerhill,Alabama,AL,BakerhillAL
166,166,165,Banks,Alabama,AL,BanksAL
"8,975","9,093","9,191",Bay Minette,Alabama,AL,Bay MinetteAL
"2,531","2,525","2,509",Bayou La Batre,Alabama,AL,Bayou La BatreAL
"1,067","1,066","1,064",Bear Creek,Alabama,AL,Bear CreekAL
287,286,283,Beatrice,Alabama,AL,BeatriceAL
186,187,187,Beaverton,Alabama,AL,BeavertonAL
210,207,208,Belk,Alabama,AL,BelkAL
45,44,43,Benton,Alabama,AL,BentonAL
461,464,463,Berlin,Alabama,AL,BerlinAL
"1,112","1,105","1,101",Berry,Alabama,AL,BerryAL
"26,943","26,733","26,641",Bessemer,Alabama,AL,BessemerAL
143,143,144,Billingsley,Alabama,AL,BillingsleyAL
"212,259","211,977","211,533",Birmingham,Alabama,AL,BirminghamAL
206,205,205,Black,Alabama,AL,BlackAL
"1,677","1,669","1,672",Blountsville,Alabama,AL,BlountsvilleAL
91,89,87,Blue Springs,Alabama,AL,Blue SpringsAL
"9,614","9,648","9,654",Boaz,Alabama,AL,BoazAL
